LGA,lga_name,lga_state,capacity_lga,dwellings_lga,instals_lga,density_lga,capunder10,cap10_100,capover100,countunder10,count10_100,count100
10050,Albury (C),NSW,45501,27782,7583,24.8,29997,14774,730,6885,696,2
10180,Armidale Regional (A),NSW,21671,12466,3778,27.8,15324,6347,0,3472,306,0
10250,Ballina (A),NSW,49594,20534,10010,45.8,38281,10511,802,9403,604,3
10300,Balranald (A),NSW,607211,1224,298,19.8,1207,1239,604765,243,51,4
10470,Bathurst Regional (A),NSW,33442,18295,5300,25.9,22433,10710,299,4745,554,1
10500,Bayside (A),NSW,31103,33424,5060,13.6,18537,11631,935,4544,513,3
10550,Bega Valley (A),NSW,28191,17725,6205,33.4,22302,5630,259,5926,278,1
10600,Bellingen (A),NSW,12068,6108,2632,41.2,9686,2382,0,2519,113,0
10650,Berrigan (A),NSW,187823,4356,1833,37.2,7382,5150,175291,1620,212,1
10750,Blacktown (C),NSW,234293,113379,39862,32.2,161866,60549,11878,36459,3378,25
10800,Bland (A),NSW,6441,2778,1015,32.2,4166,2275,0,895,120,0
10850,Blayney (A),NSW,6297,3154,926,26,3871,1825,601,821,104,1
10900,Blue Mountains (C),NSW,45617,34018,9814,27.1,35533,9935,149,9220,593,1
10950,Bogan (A),NSW,104929,1243,534,37.3,1771,1158,102000,464,69,1
11150,Bourke (A),NSW,3757,1285,654,45.3,2524,1233,0,582,72,0
11200,Brewarrina (A),NSW,1575,672,288,39.2,1130,445,0,264,24,0
11250,Broken Hill (C),NSW,22941,9325,4998,49.7,16242,6699,0,4636,362,0
11300,Burwood (A),NSW,7216,7513,1223,14.4,4372,2844,0,1085,138,0
11350,Byron (A),NSW,42127,14942,7720,46.3,28838,13134,155,6921,798,1
11400,Cabonne (A),NSW,108421,5976,2197,32.9,9057,4436,94928,1965,230,2
11450,Camden (A),NSW,81227,31647,11910,32.1,52477,26798,1952,10169,1735,6
11500,Campbelltown (C) (NSW),NSW,104290,56273,18730,30.6,74698,27275,2317,17194,1532,4
11520,Canada Bay (A),NSW,18338,17876,2893,14.5,11249,5626,1463,2587,304,2
11570,Canterbury-Bankstown (A),NSW,102758,92181,16832,16.5,61109,35437,6212,15184,1639,9
11600,Carrathool (A),NSW,125174,1272,432,27.1,1643,2374,121157,345,79,8
