site_id,postcode,state,timezone_id
567470,2099,NSW,Australia/Sydney
2731849,2287,NSW,Australia/Sydney
1666436,2487,NSW,Australia/Sydney
2536204,2233,NSW,Australia/Sydney
2974027,2650,NSW,Australia/Sydney
749455,2259,NSW,Australia/Sydney
2868743,2680,NSW,Australia/Sydney
1202068,2220,NSW,Australia/Sydney
2029754,2650,NSW,Australia/Sydney
3092865,2786,NSW,Australia/Sydney
2210676,2195,NSW,Australia/Sydney
2359034,2756,NSW,Australia/Sydney
629583,2456,NSW,Australia/Sydney
1684122,2770,NSW,Australia/Sydney
2424208,2350,NSW,Australia/Sydney
1345154,2233,NSW,Australia/Sydney
1757021,2144,NSW,Australia/Sydney
2045430,2350,NSW,Australia/Sydney
448869,2287,NSW,Australia/Sydney
863453,2096,NSW,Australia/Sydney
2989280,2450,NSW,Australia/Sydney
2355428,2340,NSW,Australia/Sydney
386175,2094,NSW,Australia/Sydney
402594,2119,NSW,Australia/Sydney
632286,2038,NSW,Australia/Sydney
298741,2343,NSW,Australia/Sydney
365102,2330,NSW,Australia/Sydney
3048767,2283,NSW,Australia/Sydney
1073792,2570,NSW,Australia/Sydney
1052852,2761,NSW,Australia/Sydney
2610884,2575,NSW,Australia/Sydney
2132942,2340,NSW,Australia/Sydney
1848035,2790,NSW,Australia/Sydney
1231812,2750,NSW,Australia/Sydney
1736188,2650,NSW,Australia/Sydney
1917496,2594,NSW,Australia/Sydney
2440574,2830,NSW,Australia/Sydney
2653320,2092,NSW,Australia/Sydney
79109,2234,NSW,Australia/Sydney
221814,2064,NSW,Australia/Sydney
1300577,2324,NSW,Australia/Sydney
2037803,2148,NSW,Australia/Sydney
2459111,2282,NSW,Australia/Sydney
1850499,2322,NSW,Australia/Sydney
1847790,2650,NSW,Australia/Sydney
1645476,2220,NSW,Australia/Sydney
2740701,2323,NSW,Australia/Sydney
2610065,2207,NSW,Australia/Sydney
2744464,2204,NSW,Australia/Sydney
2567309,2705,NSW,Australia/Sydney
962456,2753,NSW,Australia/Sydney
16696,2525,NSW,Australia/Sydney
3900,2284,NSW,Australia/Sydney
1231257,2316,NSW,Australia/Sydney
641705,2070,NSW,Australia/Sydney
2174777,2038,NSW,Australia/Sydney
3080372,2041,NSW,Australia/Sydney
1030752,2097,NSW,Australia/Sydney
2977809,2390,NSW,Australia/Sydney
463429,2878,NSW,Australia/Sydney
2397496,2233,NSW,Australia/Sydney
2846761,2119,NSW,Australia/Sydney
3101057,2233,NSW,Australia/Sydney
1372423,2085,NSW,Australia/Sydney
935208,2203,NSW,Australia/Sydney
1994889,2830,NSW,Australia/Sydney
1403570,2534,NSW,Australia/Sydney
1248588,2758,NSW,Australia/Sydney
3082044,2103,NSW,Australia/Sydney
2908212,2484,NSW,Australia/Sydney
679403,2147,NSW,Australia/Sydney
2731310,2756,NSW,Australia/Sydney
2088693,2830,NSW,Australia/Sydney
2529621,2065,NSW,Australia/Sydney
902380,2089,NSW,Australia/Sydney
227877,2092,NSW,Australia/Sydney
1328692,2337,NSW,Australia/Sydney
1761974,2759,NSW,Australia/Sydney
2966,2680,NSW,Australia/Sydney
2706460,2022,NSW,Australia/Sydney
1373874,2333,NSW,Australia/Sydney
959961,2259,NSW,Australia/Sydney
1121243,2086,NSW,Australia/Sydney
1071924,2093,NSW,Australia/Sydney
2679266,2878,NSW,Australia/Sydney
1298479,2587,NSW,Australia/Sydney
2632660,2150,NSW,Australia/Sydney
2934568,2038,NSW,Australia/Sydney
3101612,2034,NSW,Australia/Sydney
3022729,2535,NSW,Australia/Sydney
2157032,2096,NSW,Australia/Sydney
2752383,2284,NSW,Australia/Sydney
1921364,2110,NSW,Australia/Sydney
944966,2167,NSW,Australia/Sydney
990935,2126,NSW,Australia/Sydney
2925315,2064,NSW,Australia/Sydney
399472,5114,SA,Australia/Adelaide
1420190,5082,SA,Australia/Adelaide
309183,5035,SA,Australia/Adelaide
674347,5113,SA,Australia/Adelaide
602425,5098,SA,Australia/Adelaide
